Date,Mag.,SN Position,Type
2015 02 07,19.1,09 09 35.06 +33 07 22.1,IIn
2015 12 16,17.8,02 47 34.51 +34 54 33.6,Ia
2015 12 12,17.3,23 24 49.03 +15 16 52.0,IIn
2015 12 06,18.0,05 14 06.24 -10 37 30.0,IIP
2015 12 07,15.9,11 23 45.88 -01 06 21.2,Ia
2015 12 02,18.1,05 22 59.91 -00 08 17.4,II
2015 11 16,17.0,14 51 37.83 +40 35 51.4,Ib/c
2015 11 28,16.7,14 32 29.19 +49 53 34.5,II
2015 11 30,17.6,03 09 42.51 +40 58 29.3,Ia
2015 10 03,16.8,01 09 46.77 +13 18 28.9,II
2015 10 30,17.2,01 18 15.60 +15 05 58.8,Ia
2015 07 12,15.9,02 06 22.53 -52 01 26.7,Ia
2015 11 16,17.6,20 29 36.45 -43 50 27.7,Ic
2015 11 10,17.7,22 30 59.42 -13 59 56.1,IIb
2015 07 11,16.6,13 34 43.16 +09 20 19.4,II
2015 11 15,16.0,10 08 11.37 +51 50 40.9,II
2015 11 11,18.8,01 07 20.38 +32 23 59.8,Ia
2015 09 21,15.6,09 25 44.53 +34 16 36.1,IIP
2015 09 08,17.3,02 05 13.32 +06 06 08.4,Ib
2015 10 06,17.7,01 50 53.56 -36 00 30.8,Ia-p
2015 09 13,15.2,08 24 15.02 -18 46 28.1,II-p
2015 08 13,18.7,02 09 09.90 +31 59 51.5,IIP
2015 08 10,18.5,19 25 12.69 -53 36 02.8,Ia
2015 08 18,16.0,22 15 19.67 -65 32 53.4,Ia
2015 09 02,18.3,06 28 03.68 +74 18 33.8,II
2015 07 02,16.3,13 48 04.90 +61 49 15.3,Ia
2015 08 06,15.9,23 00 24.63 +01 37 36.8,Ib-p
2015 08 06,19.1,00 42 21.86 +29 38 41.5,Ic
2015 08 09,18.4,19 27 37.70 +54 22 34.0,II
2015 08 06,17.3,23 47 06.15 +29 29 07.4,II
2015 07 29,17.5,02 48 42.34 +14 18 45.4,Ia
2015 07 28,17.5,23 16 43.32 +33 59 47.6,Ia
2015 07 10,17.3,02 28 32.86 +20 17 07.7,Ia
2015 05 19,20.6,13 12 53.70 +28 47 55.3,Ia
2015 06 16,17.5,15 04 40.78 +12 37 43.6,IIn
2015 04 11,17.9,09 02 37.87 +25 56 04.2,Ib
2015 02 23,17.2,07 16 42.58 +29 51 22.7,II
2015 01 12,16.8,06 57 43.03 +13 34 45.7,IIP
2015 04 04,15.9,17 49 27.05 +36 08 36.0,IIP
2015 02 13,16.4,07 28 53.87 +33 49 10.6,Ibn
2015 06 16,17.3,23 07 24.07 -61 29 21.2,II
2015 07 22,17.1,00 31 26.07 -49 35 34.6,IIP
2015 04 09,17.8,13 44 33.67 +04 46 53.5,II
2015 06 17,16.0,11 47 35.08 +55 58 14.7,Ib
2015 06 07,18.2,12 50 30.72 -10 52 40.5,IIP
2015 06 22,18.3,18 13 49.23 +13 14 15.9,IIP
2015 07 06,17.6,21 43 16.89 +43 34 47.6,Ia
2015 05 13,17.2,13 00 32.30 +27 58 41.1,Ia
2015 06 14,17.0,22 02 15.45 -61 39 34.6,I-p
2015 04 25,16.3,23 35 52.26 +23 36 52.1,Ic
2015 04 27,19.3,07 35 05.18 -69 07 53.1,IIn
2015 05 02,15.7,07 17 45.70 +23 20 40.6,Ia
2015 02 10,16.9,10 54 42.16 -21 04 13.8,Ia
2015 03 23,15.5,20 37 25.58 +66 07 11.5,Ibn
2015 03 09,16.8,07 36 15.76 -69 30 23.0,Ia
2015 01 13,17.0,03 13 35.31 +00 15 03.1,Ia
2015 01 18,17.5,13 12 41.16 +12 36 01.8,IIP
2015 01 07,16.4,13 18 30.47 -14 36 44.6,IIP
2015 01 05,15.0,12 54 35.53 -12 34 18.6,Ia
2015 01 09,16.6,09 41 15.55 +35 53 17.4,Ia
2014 11 05,17.8,05 03 16.39 -02 56 11.0,Ib
2014 11 03,16.0,20 25 03.86 -24 49 13.3,Ic
2014 11 16,17.3,02 45 09.27 -55 44 16.9,Ia
2014 12 13,17.9,00 56 39.65 -09 54 02.8,Ib/c
2014 11 12,17.3,07 59 11.78 +32 54 39.9,IIn
2014 11 21,19.5,09 29 13.75 +22 34 36.4,Ia
2014 11 20,17.2,11 02 35.20 +50 35 09.4,II
2014 12 08,17.3,09 52 55.58 +42 50 51.1,IIP
2014 12 15,17.4,10 48 32.31 +26 35 17.9,Ia
2014 12 20,17.3,03 28 14.19 +38 01 11.1,Ia
2014 12 19,18.8,02 48 57.86 -00 45 38.5,Ia
2014 12 25,16.4,08 29 38.20 -17 17 47.3,Ia
2014 11 06,15.5,11 10 48.41 -37 27 02.2,II
2014 11 17,16.0,07 58 30.10 -14 21 15.0,Ia
2014 10 31,17.4,02 26 23.31 +27 39 34.8,Ia
2014 10 29,13.6,12 21 57.57 +04 28 18.5,Ia-p
2014 10 11,16.3,08 11 16.45 +25 10 47.4,IIb
2014 10 14,16.6,03 22 46.39 +00 09 20.7,II
2014 10 19,16.9,22 23 16.09 -28 58 31.8,II
2014 09 28,16.8,08 19 37.98 -22 34 14.7,Ib
2014 09 28,16.0,08 17 43.39 -30 07 21.1,II
2014 09 24,17.1,04 17 54.27 -56 36 45.2,Ia-p
2014 09 27,16.5,04 08 07.13 -08 49 37.2,Ia
2014 09 25,16.5,16 29 46.09 +08 38 30.6,Ia-p
2014 09 25,17.0,00 28 11.96 +07 09 43.9,Ia
2014 09 24,17.0,00 57 40.18 +43 47 34.2,Ic
2014 09 21,18.1,01 30 03.40 -42 41 48.7,II
2014 09 16,18.5,20 56 32.41 -00 32 47.1,Ia
2014 09 11,15.4,03 48 19.78 +70 07 54.5,Ia
2014 06 03,14.0,03 44 23.99 -44 40 08.1,Ib
2014 08 28,17.2,03 08 31.74 +14 25 30.3,Ia
2014 08 29,17.3,03 03 36.27 +46 56 52.0,Ia
2014 09 04,17.0,03 30 55.11 -47 58 51.1,IIP
2014 08 27,17.1,04 13 38.46 +25 28 46.2,IIP
2014 08 07,16.2,00 29 15.12 +02 51 57.6,Ia
2014 09 02,17.2,00 32 14.54 -41 22 55.9,Ia
2014 08 31,16.2,23 44 16.03 +10 46 12.5,II
2014 09 02,15.6,00 59 47.83 -07 34 18.6,II
2014 08 29,16.9,22 15 26.55 -10 28 34.6,II
2014 05 31,20.0,15 59 03.59 +51 18 18.0,IIP
2014 06 22,18.1,21 50 47.15 -73 55 33.4,II
2014 06 01,18.7,09 59 25.16 -00 15 19.2,Ia
2014 06 22,17.1,21 35 53.36 -62 05 39.8,Ia
2014 06 27,17.8,19 37 06.13 -42 17 50.5,Ia-p
2014 06 20,16.8,09 23 29.55 -63 40 28.3,IIb
2014 06 23,15.7,02 25 30.46 -25 37 38.0,Ic
2014 06 21,16.8,01 10 36.22 -30 13 37.6,II
2014 04 24,17.6,12 09 11.54 +29 10 20.9,IIP
2014 05 30,18.0,18 08 30.60 -52 04 11.4,II
2014 06 16,17.5,02 16 09.10 -11 56 02.6,IIb
2014 06 29,16.4,22 45 38.88 +73 09 42.7,Ia-p
2014 08 13,17.0,06 36 30.00 -66 43 54.0,Ia
2014 07 16,17.2,22 34 04.80 +68 26 24.0,Ia
2014 05 30,17.4,15 58 31.10 +12 51 59.6,Ia
2014 07 18,17.8,20 04 34.85 +12 44 16.8,Ia
2014 08 07,18.8,23 01 52.97 +14 24 50.5,IIp
2014 08 09,17.0,23 27 40.86 +23 35 21.4,II
2014 08 09,15.9,04 23 47.19 -51 36 02.9,Ia
2014 08 09,15.9,06 33 57.76 -34 48 27.6,Ia
2014 08 18,16.4,14 50 49.90 -13 31 03.7,Ia
2014 05 10,17.3,16 53 20.94 -72 30 52.0,II
2014 05 06,16.9,13 56 04.19 -43 35 09.9,Ia
2014 07 15,15.8,14 27 48.57 +11 33 42.4,Ia
2014 07 20,15.8,19 43 53.25 -70 37 52.0,Ia
2014 06 10,16.9,16 55 44.77 +26 15 28.6,IIn
2014 06 18,16.0,12 24 30.98 +75 32 08.6,Ia
2014 06 17,15.5,01 20 58.45 +21 59 59.8,IIP
2014 05 31,16.2,21 43 11.13 -38 58 05.8,Ibc
2014 05 30,18.9,13 42 09.72 +04 15 44.7,Ia
2014 05 05,16.5,22 59 50.69 -61 33 22.2,Ibc
2014 06 03,17.8,16 07 25.38 +36 47 35.7,Ia
2014 06 05,18.1,15 36 31.24 +46 54 14.2,Ia
2014 05 19,19.3,16 27 46.15 +41 44 23.7,Ia
2014 06 08,17.6,21 15 13.30 +02 11 22.4,Ia
2014 06 06,17.4,17 42 32.16 +67 35 41.8,Ia
2014 05 20,18.3,13 25 38.81 +25 57 33.9,Ic
2014 05 28,17.9,13 54 02.42 +20 00 24.3,Ibn
2014 05 22,17.5,19 22 39.15 +43 53 26.9,Ia
2014 05 31,18.2,12 06 02.99 +47 29 33.5,IIP
2014 05 22,17.4,12 24 56.68 +21 21 41.0,Ia
2014 06 05,17.0,14 35 45.90 +24 43 17.9,Ia
2014 05 22,17.4,15 57 35.23 +18 01 47.6,IIP
2014 05 07,18.6,16 09 35.12 +42 26 30.4,Ia
2014 04 23,20.0,14 50 48.07 +09 22 48.3,II-p
2014 05 19,14.8,12 18 57.71 +47 18 11.3,II
2014 05 09,16.5,13 32 49.11 +41 52 15.1,Ia-p
2014 05 07,14.7,22 55 01.97 -39 39 34.5,Ia-p
2014 04 30,16.3,23 32 22.84 +15 51 10.6,IIp
2014 05 04,16.7,17 55 05.43 +18 15 26.4,II
2014 05 03,17.6,16 16 18.16 +64 06 06.3,IIP
2014 04 25,16.5,16 10 23.61 +47 04 40.3,Ia
2014 04 19,16.2,09 00 20.02 +52 29 28.0,Ibn
2014 04 20,20.2,14 19 28.92 -05 37 36.1,IIP
2014 04 20,16.3,21 46 14.82 -46 31 21.1,Ia
2014 04 18,17.3,14 00 54.49 +40 58 59.6,Ic
2014 04 18,17.6,11 40 58.90 -44 29 05.7,Ic
2014 04 14,17.7,11 12 34.72 +12 04 24.8,Ia
2014 03 20,16.5,11 30 13.37 +24 10 07.2,Ia
2014 04 17,15.5,08 34 33.32 -02 32 36.1,Ia
2014 03 31,18.6,14 51 42.93 +08 34 12.5,Ia
2014 03 26,17.4,15 23 18.48 +18 17 33.3,Ia
2014 03 28,16.8,16 26 55.28 +33 38 24.4,Ia
2014 03 26,17.9,07 48 44.10 +54 36 40.5,Ia
2014 03 24,17.3,05 11 43.96 +67 29 29.4,Ia
2014 03 21,18.1,09 19 44.17 +33 45 49.6,Ia
2014 03 12,15.4,11 55 30.83 +11 55 26.3,Ia
2014 03 11,15.5,16 30 40.68 +44 30 34.7,Ia
2014 02 07,15.9,08 47 21.16 +73 13 13.7,IIP
